tz,total,male,female,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
3,4989,1863,3126,892,2774,1323,2513,1968,386,39,83,637,941,1287,1232
4,2717,1310,1407,688,1506,523,1884,512,251,24,46,350,434,599,646
5,1191,658,533,319,631,241,960,139,87,0,5,96,181,257,338
6,2495,1070,1425,491,1315,689,1907,330,206,20,32,167,453,540,844
7,17223,8980,8243,4006,9611,3606,12137,2789,1910,143,244,2238,3083,3795,4101
8,11,6,5,1,9,1,7,1,1,2,0,4,2,2,2
9,3656,1708,1948,776,2058,822,2295,615,666,28,52,416,588,840,1036
10,3021,1558,1463,573,1754,694,1364,1212,359,33,53,459,610,715,664
11,4084,2065,2019,805,2340,939,2676,826,491,21,70,498,675,886,1220
12,1116,665,451,150,741,225,795,129,143,14,35,43,183,191,549
13,21540,13028,8512,4678,14047,2815,15419,2205,3361,169,386,1163,2011,3377,10311
14,17232,7800,9432,3839,9201,4192,12186,2879,1764,158,245,2024,2902,3904,4563
15,4400,2015,2385,1584,2002,814,3109,747,438,27,79,445,626,818,927
16,11741,5398,6343,2450,6545,2746,7319,2161,1998,80,183,1341,1882,2755,3313
17,14566,6528,8038,3494,8269,2803,8922,4472,854,117,201,1974,2793,3196,3109
18,9810,4618,5192,1835,5711,2264,6072,2745,661,134,198,1457,1854,2250,2414
19,5959,2863,3096,1149,3273,1537,3604,1498,735,46,76,581,1013,1407,1809
20,7848,3696,4152,2210,3926,1712,5667,1497,469,71,144,971,1146,1558,1963
21,9440,4345,5095,1852,5356,2232,6653,1164,1414,81,128,1193,1554,2101,2740
22,16136,6965,9171,3296,8769,4071,10435,2861,2518,121,201,1983,2812,3588,4457
23,13605,6765,6840,3304,7247,3054,9816,2481,1044,88,176,1266,2329,3121,3585
24,2587,1293,1294,575,1412,600,1614,692,208,27,46,378,474,600,560
25,27777,16457,11320,5209,16803,5765,15344,9086,2640,226,481,2888,4887,6932,7861
26,50264,20012,30252,10565,27400,12299,35669,9581,4045,326,643,5886,8879,11483,13451
27,740,399,341,116,389,235,518,127,79,4,12,56,92,132,344
28,6762,2976,3786,1087,3914,1761,3553,2084,971,62,92,771,1105,1766,2033
29,12268,4344,7924,1618,6967,3683,7199,2921,1783,128,237,1727,2236,2979,3708
30,503,216,287,105,305,93,351,116,19,8,9,103,102,108,85
31,869,428,441,238,413,218,633,178,40,5,13,79,130,230,192
32,5973,1840,4133,979,3355,1639,3217,2205,365,58,128,1010,1184,1443,1357
33,15811,6591,9220,3500,8750,3561,9713,4488,1173,138,299,1858,2760,3562,4131
34,3504,2060,1444,874,1906,724,2136,795,467,35,71,537,667,771,655
35,7195,3326,3869,1575,4172,1448,3607,2777,664,58,89,885,1237,1649,1849
36,13133,5887,7246,2355,7492,3286,7847,3254,1617,190,225,2171,2519,3103,2985
37,13384,6613,6771,2393,7676,3315,7065,3966,2005,148,200,1943,2452,3339,3257
38,1432,647,785,316,770,346,646,622,140,4,20,185,256,317,358
39,9342,4626,4716,2005,5221,2116,4827,3665,677,54,119,1135,1702,2208,2292
40,4544,2334,2210,1025,2622,897,3230,839,344,31,100,480,743,995,1301
41,10718,4848,5870,3405,5571,1742,5863,3767,779,103,206,1207,1693,2183,2230
42,13510,5724,7786,2911,7605,2994,6152,5818,1186,132,222,1594,2261,3350,3394
43,2941,1404,1537,541,1737,663,1935,722,215,14,55,291,495,717,897
44,7032,4050,2982,1685,3736,1611,5631,959,332,37,73,656,1311,1604,1776
45,12402,5957,6445,1841,7398,3163,4939,1661,5563,44,195,1713,1999,2667,4182
46,1465,856,609,433,728,304,1085,254,81,24,21,264,225,287,256
47,9827,4524,5303,1482,5925,2420,5423,3290,854,96,164,1317,1757,2517,2754
48,40945,21464,19481,9548,23516,7881,27914,7845,4037,360,789,4435,6569,8951,11442
49,9436,4639,4797,2380,5141,1915,6211,2175,803,68,179,963,1558,2080,2455
50,25889,15906,9983,5828,15745,4316,17648,5053,2590,186,412,2044,3652,5257,9108
51,11828,6022,5806,3104,6356,2368,6545,4348,602,142,191,1719,2241,2745,2019
52,2706,1089,1617,661,1429,616,1655,761,227,18,45,319,460,610,656
53,14152,9433,4719,2247,8689,3216,8405,3629,1792,101,225,1810,2810,3708,3577
54,1133,763,370,222,681,230,844,193,67,13,16,159,228,282,242
55,8245,4028,4217,1783,4467,1995,5203,2400,479,62,101,1060,1468,1882,2052
56,4297,2213,2084,639,2461,1197,2574,925,669,51,78,707,779,1056,1116
57,385,201,184,63,231,91,232,37,102,7,7,80,81,77,84
58,336,151,185,58,196,82,276,40,16,1,3,36,69,85,88
60,3382,1756,1626,785,1953,644,2039,1053,201,33,56,480,586,806,725
61,13419,6424,6995,2764,7477,3178,6297,5628,1153,125,216,1728,2436,3166,3325
62,5966,2724,3242,1389,3311,1266,3747,1721,364,52,82,677,1015,1384,1501
63,5432,2927,2505,1107,3160,1165,2942,1896,442,70,82,992,1097,1271,965
64,5181,2414,2767,1300,2620,1261,3284,970,818,31,78,623,902,1137,1219
65,62423,45647,16776,5424,38568,18431,27164,27038,6378,611,1232,7402,14292,19041,16264
66,10451,5818,4633,3116,6103,1232,7144,2035,1001,60,211,955,1600,2074,2706
67,11921,4755,7166,2122,6394,3405,7093,2115,2219,139,355,1591,2123,2712,3373
68,53687,29558,24129,12763,31665,9259,36713,9807,5732,383,1052,4920,7997,11235,16772
69,9041,4011,5030,1884,5129,2028,5126,3098,551,97,169,1213,1574,2191,2179
70,5546,3058,2488,1227,3118,1201,3327,1502,558,64,95,883,1095,1288,1053
71,13087,5835,7252,2775,6796,3516,6951,4735,1096,100,205,1296,2145,2977,3894
72,8263,3397,4866,1116,4679,2468,2978,4253,844,67,121,965,1460,2213,2509
73,4604,1978,2626,715,2489,1400,1955,785,1723,41,100,510,739,1092,1548
74,15026,6783,8243,3471,8233,3322,8060,5623,927,156,260,2239,2752,3421,3143
75,31040,12151,18889,5531,18407,7102,16691,8784,4696,270,599,3123,4830,7540,10016
76,21783,10610,11173,5287,11527,4969,11874,7889,1456,203,361,3133,4001,4792,4570
77,6345,3449,2896,855,3582,1908,3023,2800,348,71,103,1212,1392,1711,1175
78,4843,2180,2663,924,2853,1066,2734,1636,346,50,77,723,867,1193,1136
79,26074,12242,13832,6555,14189,5330,15968,5690,3726,220,470,2619,4105,5869,6926
80,16646,8768,7878,3105,9199,4342,9967,4335,1882,165,297,2902,3533,3959,3147
81,4286,2165,2121,687,2425,1174,2576,1318,270,43,79,646,904,1086,963
82,22283,8914,13369,5854,11500,4929,12002,6188,3459,215,419,2521,3571,4902,5435
83,6126,2982,3144,977,3623,1526,3814,852,1309,53,98,940,1153,1403,1653
84,3976,1696,2280,743,2279,954,3038,591,280,15,52,334,653,971,1275
85,5094,2230,2864,1191,2793,1110,2465,2120,403,28,78,602,865,1205,1231
86,9308,3644,5664,1683,5108,2517,5163,3191,737,68,149,1233,1667,2338,2387
87,81845,40801,41044,16002,48583,17260,54262,15843,9698,616,1426,6493,10840,16751,31759
88,55052,26681,28371,10062,32826,12164,35085,11731,6776,474,986,5294,7799,11598,20299
89,15381,7288,8093,3824,8378,3179,8523,5008,1502,112,236,1958,2698,3454,3447
90,29333,15402,13931,7596,16535,5202,20515,5477,2569,218,554,2834,4565,6145,8193
91,12295,5723,6572,2557,6714,3024,7881,3207,941,98,168,1568,2171,2773,3226
92,31299,14085,17214,6047,17401,7851,13404,3933,13238,237,487,4727,5445,6526,8554
93,3210,1879,1331,1292,1339,579,2163,745,217,26,59,353,489,549,527
94,5687,2260,3427,1108,3387,1192,3141,1808,572,57,109,669,915,1472,1523
95,31986,12893,19093,6157,17463,8366,20447,7219,3397,338,585,4057,5623,7363,8786
96,356,183,173,60,179,117,278,37,32,5,4,59,72,78,87
97,17994,8390,9604,3818,9979,4197,10069,5841,1648,125,311,1605,2563,3996,6012
98,5844,3002,2842,1200,3065,1579,3566,1212,913,42,111,711,1002,1400,1531
99,585,292,293,206,252,127,491,45,42,2,5,39,96,123,121
100,119674,58504,61170,30015,65976,23683,80685,20206,15623,993,2167,11293,17339,24213,36814
101,12614,4158,8456,2123,7243,3248,7489,2979,1846,82,218,1044,1826,3176,4445
102,6719,3738,2981,1821,3455,1443,4835,1261,463,48,112,816,1188,1464,1430
103,167,64,103,89,62,16,82,81,4,0,0,24,21,23,10
105,90,61,29,20,49,21,64,17,9,0,0,10,13,17,30
106,9279,5027,4252,2036,4919,2324,5657,2545,836,90,151,1445,1775,2108,1915
107,35969,19921,16048,8208,20783,6978,24668,6772,3634,248,647,3044,5274,7594,11849
108,5138,2736,2402,1035,2919,1184,3465,1171,399,36,67,620,851,1234,1398
109,6661,2444,4217,1536,3236,1889,4829,1249,476,35,72,765,1224,1547,1589
110,5,4,1,0,3,2,5,0,0,0,0,0,1,2,2
112,15596,9644,5952,3151,8879,3566,11688,2303,1221,126,258,2004,3091,3635,3715
113,23621,11968,11653,8113,11916,3592,16961,3539,2484,160,477,2046,3241,4246,5975
114,25754,12973,12781,8241,13070,4443,19051,3216,2747,194,546,1880,3190,4544,7899
115,2523,1145,1378,635,1258,630,1922,401,148,11,41,182,365,528,813
116,4574,2143,2431,1076,2495,1003,2706,1396,316,63,93,644,793,1034,1027
117,3972,1792,2180,591,2329,1052,1978,1601,300,32,61,534,715,1040,1092
118,10391,4415,5976,3442,4875,2074,7160,2154,861,67,149,895,1644,2110,2300
119,3153,1531,1622,520,1929,704,1884,973,197,49,50,565,549,776,743
121,12213,5220,6993,1692,6843,3678,6933,3349,1638,94,199,1278,2008,3046,4189
122,1851,807,1044,338,1084,429,814,791,189,17,40,230,357,483,443
123,12481,5242,7239,2362,6894,3225,8783,2062,1369,105,162,1482,2235,2791,3611
124,3950,1968,1982,1118,1990,842,3067,529,294,25,35,439,646,868,879
125,30834,16259,14575,7996,18207,4631,22612,4681,2772,182,587,2211,4227,6081,10319
126,22756,15038,7718,4063,13848,4845,15459,5473,1116,316,392,4005,4599,5454,4635
127,5375,2446,2929,1139,3106,1130,3699,1177,312,80,107,925,1035,1191,1085
128,11,7,4,4,6,1,7,2,1,1,0,3,0,3,1
129,15283,7681,7602,3103,8735,3445,9583,3087,2204,161,248,2249,2793,3443,3695
130,24065,10039,14026,4828,12939,6298,12211,8010,2945,342,557,3600,4697,5484,5456
131,3931,1483,2448,783,2114,1034,2225,865,761,31,49,495,669,896,1088
132,33303,20042,13261,7052,18530,7721,19166,10035,3038,400,664,4378,7109,8026,6738
133,5768,2893,2875,1147,3249,1372,3831,1141,643,61,92,870,1097,1313,1341
134,8257,3732,4525,1407,4610,2240,4821,2138,1032,85,181,1079,1516,1982,2273
135,7816,3399,4417,1821,4254,1741,4877,1829,913,66,131,942,1373,1678,2002
136,6740,2686,4054,1316,3696,1728,2909,2643,638,64,486,676,1009,1668,2071
137,33528,12936,20592,6106,19387,8035,18879,8509,4948,333,859,2864,4747,7959,11852
138,9140,5648,3492,1353,5514,2273,6289,2105,518,81,147,952,2004,2430,2401
139,2330,988,1342,341,1209,780,898,1103,260,23,46,375,492,604,518
140,40379,15139,25240,7159,23954,9266,23410,9875,6012,321,761,3441,5852,9969,13958
141,15244,7636,7608,3717,8128,3399,10641,2564,1706,114,219,1747,2637,3283,3860
142,48498,24051,24447,11161,26811,10526,33446,9429,4318,361,944,4333,6928,10581,15495
143,8092,3996,4096,2212,4170,1710,5421,1840,653,50,128,932,1396,1636,1916
144,29287,13895,15392,9766,15234,4287,18109,3416,7056,179,527,3113,4071,5126,7211
145,31940,20408,11532,5671,19271,6998,21343,6365,3416,300,516,4002,5781,7391,9095
146,19542,11503,8039,3259,12008,4275,12977,4194,1856,184,331,2556,3810,4856,5061
147,4047,1914,2133,806,2339,902,2374,1331,236,45,61,596,789,953,903
148,12461,6700,5761,3576,6667,2218,7394,1501,3236,90,240,1655,2186,2508,2536
149,8218,3002,5216,1359,4396,2463,5651,1414,996,60,97,980,1407,1978,2494
150,3888,1635,2253,716,2117,1055,2302,1098,414,22,52,479,669,930,1094
151,7016,3226,3790,1599,3805,1612,4258,1941,640,62,115,964,1207,1597,1649
152,7137,3762,3375,1624,4121,1392,4090,2354,492,64,137,896,1266,1636,1715
153,810,339,471,186,459,165,485,250,49,9,17,72,131,195,226
154,1445,601,844,551,589,305,833,490,85,8,29,137,234,247,276
155,8204,3774,4430,2121,4177,1906,5303,2092,637,60,112,915,1441,1822,1905
156,7402,4488,2914,1583,4208,1611,5546,1291,425,45,95,711,1380,1769,1959
157,10862,7030,3832,1937,6503,2422,7679,1815,1100,111,157,1654,2258,2518,2495
158,14832,7901,6931,4131,8270,2431,10559,2398,1507,93,275,1433,2283,2931,4054
159,15427,5430,9997,2872,8691,3864,7773,5658,1451,219,326,2480,2789,3907,3379
160,4809,2445,2364,1066,2590,1153,3493,768,442,31,75,556,864,1160,1163
161,197140,107473,89667,44077,117884,35179,142519,23942,25756,1446,3477,13446,23571,36647,79399
162,114485,62834,51651,24742,69616,20127,81171,15826,14740,819,1929,7519,13268,21145,47811
163,78979,41921,37058,18692,47084,13203,57040,10540,9320,605,1474,5969,10141,15358,28819
164,104958,48334,56624,25913,58832,20213,67722,20898,13396,940,2002,10691,16108,21713,30533
165,19014,6720,12294,3793,9819,5402,13395,3870,1262,197,290,2719,3416,4236,4850
166,43211,19210,24001,9508,23784,9919,29156,7357,5275,413,1010,3231,5684,9166,15622
167,6611,2919,3692,1105,4015,1491,3475,2430,530,73,103,855,1144,1726,1781
168,17183,9460,7723,3279,9956,3948,10836,4973,895,215,264,2973,3350,4170,3411
169,7520,3279,4241,1241,4561,1718,4004,2584,672,98,162,1134,1311,1904,1930
170,99255,51457,47798,25153,56458,17644,69461,15259,11988,779,1768,8059,13367,19681,32995
171,7815,3582,4233,1229,4514,2072,3718,1344,2593,48,112,932,1367,1903,2384
172,6914,3157,3757,1732,3598,1584,5238,1075,463,41,97,577,1148,1587,1870
173,3650,1844,1806,747,2129,774,2325,640,581,46,58,640,661,794,808
174,19193,6571,12622,3096,11575,4522,9565,6848,2224,175,381,2001,3263,5247,5586
175,3822,1746,2076,783,2135,904,2234,796,717,27,48,400,611,898,1130
176,1711,768,943,436,901,374,1321,226,138,7,19,159,293,389,434
177,4547,2041,2506,934,2594,1019,1990,2169,279,39,70,667,877,1101,968
178,6934,2632,4302,1427,3635,1872,4997,1226,516,87,108,1002,1332,1509,1664
179,7436,3760,3676,1393,4265,1778,4374,1945,916,79,122,1044,1388,1746,1865
180,3346,1732,1614,822,1777,747,2150,752,355,40,49,389,602,747,786
181,22580,9832,12748,5980,12277,4323,13766,5957,2265,173,419,2339,3655,4980,5626
182,3057,1559,1498,703,1699,655,1845,837,294,42,39,471,540,738,605
183,2774,1368,1406,648,1482,644,1660,847,180,31,56,385,543,633,565
184,140,86,54,53,64,23,88,41,6,1,4,25,26,21,15
185,10984,4386,6598,1751,6279,2954,5710,3762,1204,113,195,1479,1905,2856,2993
186,66990,35375,31615,15437,38125,13428,45120,13276,6747,600,1247,6773,9898,14204,20678
187,4029,2461,1568,832,2220,977,2925,778,245,27,54,505,734,992,966
188,15712,5865,9847,2310,8846,4556,6442,6933,1956,124,257,1888,2825,4127,4562
189,4451,2072,2379,1063,2567,821,2718,1223,397,28,85,503,723,1012,1150
190,104,44,60,31,58,15,74,24,5,1,0,10,14,19,30
191,6917,3541,3376,1240,3925,1752,3760,2227,736,71,123,897,1295,1692,1793
192,7180,2650,4530,1054,4290,1836,3344,1564,2078,64,130,707,1055,1806,2558
193,5833,3900,1933,1098,3562,1173,4050,1209,423,53,98,793,1189,1406,1347
194,2801,1362,1439,484,1539,778,1651,839,248,20,43,247,468,702,900
195,7685,5051,2634,1744,4347,1594,4839,2171,480,65,130,1139,1516,1771,1515
196,10518,4375,6143,2693,5534,2291,6626,2202,1405,112,173,1359,1791,2259,2416
197,17677,8587,9090,2607,10476,4594,10114,4549,2477,215,322,2225,3257,4547,5041
198,12889,6932,5957,2600,7473,2816,8687,2549,1357,120,176,1767,2340,2966,3216
199,1483,644,839,190,926,367,876,470,95,11,31,104,220,425,544
200,9379,3924,5455,1955,4935,2489,6152,2382,606,84,155,995,1529,2091,2809
201,3090,1482,1608,523,1766,801,1830,959,234,24,43,409,560,755,843
202,3318,1330,1988,373,1883,1062,1442,1278,504,27,67,350,597,981,1017
203,3177,1630,1547,751,1742,684,1676,964,471,20,46,388,575,696,767
204,1486,845,641,338,840,308,1231,129,103,10,13,142,279,320,407
205,4643,2289,2354,998,2546,1099,2193,1968,388,31,63,566,907,1097,1075
206,7637,4125,3512,1436,4454,1747,5171,1740,557,44,125,749,1360,1897,2195
207,1274,642,632,172,813,289,825,336,90,6,17,118,216,333,435
208,6885,3131,3754,1547,3793,1545,4486,1763,480,62,94,791,1092,1670,1785
209,14893,7313,7580,3537,8558,2798,10439,2549,1563,87,255,1027,1874,2964,5491
210,10038,4526,5512,2297,5452,2289,7397,1607,840,66,128,1165,1801,2130,2645
211,19452,9779,9673,6630,10438,2384,14098,2521,2335,108,390,1589,2607,3466,5160
212,3199,1658,1541,718,1816,665,1975,866,270,38,50,511,603,716,651
213,9434,4829,4605,2179,5428,1827,5641,3029,492,92,180,1301,1696,2176,2082
214,8752,3246,5506,1906,4682,2164,6556,1262,775,53,106,577,1353,2141,2775
215,2508,1369,1139,429,1431,648,1306,927,225,19,31,338,462,626,653
216,9881,5251,4630,2077,5519,2285,5454,2558,1503,140,226,1504,1925,2313,2062
217,9831,5184,4647,2724,5221,1886,8065,1299,287,70,110,1225,1788,2136,1958
218,3860,1917,1943,596,2339,925,1984,1403,384,28,61,359,751,1025,1129
219,9969,6084,3885,1673,5929,2367,4967,2942,1799,92,169,1502,2029,2451,2314
220,8936,3717,5219,1601,5055,2280,5468,2544,683,93,148,1463,1745,2105,2022
221,4242,2074,2168,847,2416,979,2853,939,368,27,55,457,778,993,1167
222,1934,975,959,482,954,498,1000,778,105,11,40,251,362,477,362
223,16744,8960,7784,2879,9862,4003,11165,3716,1477,129,257,1782,2973,4104,5006
224,1407,861,546,281,758,368,940,295,134,14,24,239,251,328,308
225,5900,2415,3485,1046,3480,1374,2929,2414,415,43,99,767,1042,1494,1551
226,45297,27517,17780,8404,26164,10729,27572,11892,4540,489,804,6784,9013,10932,10164
227,12616,5548,7068,2559,7406,2651,6144,1512,4745,64,151,1881,2130,2643,3403
228,30505,16151,14354,6132,17372,7001,19681,6250,3855,265,454,4214,5442,7200,7517
229,25954,12428,13526,5702,14645,5607,18791,3908,2630,159,466,2452,3780,5424,8596
230,154966,88076,66890,34376,94415,26175,111025,21282,18604,1219,2836,10803,18809,28773,62205
231,172899,81507,91392,30001,103709,39189,105293,44468,18383,1438,3317,14126,25250,41191,62331
232,8306,3427,4879,1776,4439,2091,4802,2017,1236,91,160,1144,1445,2011,1930
233,42274,21104,21170,8851,25585,7838,29454,6748,5023,311,738,3197,5626,8457,16143
234,119550,61303,58247,35939,66079,17532,86846,16437,13025,887,2355,9081,15245,21767,37518
235,4678,2043,2635,1081,2678,919,2680,1538,310,68,82,773,799,1069,956
236,23596,10836,12760,4966,12496,6134,17413,3366,2260,140,417,2670,3983,5267,6710
237,43818,19934,23884,10206,23645,9967,31398,6986,4354,359,721,4538,6976,9663,12435
238,13082,5924,7158,3226,6840,3016,8857,2709,1179,110,227,1687,2183,2903,3083
239,18185,8488,9697,4621,9437,4127,12364,3795,1602,130,294,2210,3165,3925,4264
240,253,182,71,33,148,72,208,29,10,2,4,31,51,75,63
241,6461,3027,3434,1099,3838,1524,3830,1969,501,63,98,855,1105,1627,1775
242,22655,8624,14031,4145,12402,6108,13543,6340,2083,255,434,2889,3927,5392,6302
243,12203,5332,6871,2586,6702,2915,8177,2715,971,132,208,1565,2047,2715,3290
244,21205,8201,13004,4297,12471,4437,12259,5257,3004,240,445,2675,3430,4912,5891
245,5920,2263,3657,1168,3077,1675,4223,1017,576,31,73,469,923,1526,1834
246,22623,12981,9642,5651,12966,4006,16213,4098,1694,167,451,2052,3532,4738,6650
247,8105,4178,3927,2203,4215,1687,5035,2275,584,83,128,1125,1339,1647,1791
248,4674,2560,2114,1066,2601,1007,2755,1498,307,44,70,663,812,1090,1043
249,21932,11808,10124,5765,12098,4069,15316,4190,1853,173,400,2328,3653,4504,5682
250,8524,3612,4912,1201,5009,2314,4899,2563,729,115,218,1406,1735,2118,2064
251,3954,1688,2266,904,2041,1009,3120,402,365,25,42,321,660,973,1096
252,9865,5479,4386,2390,5274,2201,6702,1805,1120,77,161,1322,1737,2159,2257
253,774,616,158,95,508,171,580,89,88,6,11,130,161,193,195
254,8656,3366,5290,1387,5156,2113,4608,3014,763,97,174,1154,1555,2226,2334
255,8928,4901,4027,3063,4726,1139,6702,1178,826,55,167,984,1476,1664,1741
256,20419,8599,11820,4841,11313,4265,12374,5188,2273,225,359,3058,3829,4535,4156
257,3576,1444,2132,612,1968,996,2400,851,248,33,44,601,691,866,806
258,8362,4066,4296,1241,4822,2299,5130,2153,820,118,141,1686,1879,1936,1620
259,4496,2392,2104,905,2566,1025,2864,1209,280,51,92,628,871,1042,1050
260,13214,7632,5582,3294,7142,2778,7768,3232,1853,116,245,1711,2407,2934,2868
261,41652,21295,20357,9306,25098,7248,28356,7022,5242,311,721,2738,5107,8181,16320
262,8109,4038,4071,2128,4117,1864,5504,1617,762,72,154,981,1376,1682,1942
263,11003,5721,5282,2733,5738,2532,7027,2428,1265,106,177,1421,1949,2406,2494
